Codes:,Business_Income
1,1.3001823e+13
11,135606092566.0
111,27121218513.2
1111,5424243702.63
11111,774891957.519
111110,774891957.519
11112,774891957.519
111120,774891957.519
11113,774891957.519
111130,774891957.519
11114,774891957.519
111140,774891957.519
11115,774891957.519
111150,774891957.519
11116,774891957.519
111160,774891957.519
11119,774891957.519
111191,387445978.759
111199,387445978.759
1112,5424243702.63
11121,5424243702.63
111211,2712121851.32
111219,2712121851.32
1113,5424243702.63
11131,1808081234.21
111310,1808081234.21
11132,1808081234.21
111320,1808081234.21
11133,1808081234.21
111331,258297319.173
111332,258297319.173
111333,258297319.173
111334,258297319.173
111335,258297319.173
111336,258297319.173
111339,258297319.173
1114,5424243702.63
11141,2712121851.32
111411,1356060925.66
111419,1356060925.66
11142,2712121851.32
111421,1356060925.66
111422,1356060925.66
1119,5424243702.63
11191,1084848740.53
111910,1084848740.53
11192,1084848740.53
111920,1084848740.53
11193,1084848740.53
111930,1084848740.53
11194,1084848740.53
111940,1084848740.53
11199,1084848740.53
111991,361616246.842
111992,361616246.842
111998,361616246.842
112,27121218513.2
1121,4520203085.53
11211,1506734361.84
112111,753367180.921
112112,753367180.921
11212,1506734361.84
112120,1506734361.84
11213,1506734361.84
112130,1506734361.84
1122,4520203085.53
11221,4520203085.53
112210,4520203085.53
1123,4520203085.53
11231,904040617.105
112310,904040617.105
11232,904040617.105
112320,904040617.105
11233,904040617.105
112330,904040617.105
11234,904040617.105
112340,904040617.105
11239,904040617.105
112390,904040617.105
1124,4520203085.53
11241,2260101542.76
112410,2260101542.76
11242,2260101542.76
112420,2260101542.76
1125,4520203085.53
11251,4520203085.53
112511,1506734361.84
112512,1506734361.84
112519,1506734361.84
1129,4520203085.53
11291,1130050771.38
112910,1130050771.38
11292,1130050771.38
112920,1130050771.38
11293,1130050771.38
112930,1130050771.38
11299,1130050771.38
112990,1130050771.38
113,27121218513.2
1131,9040406171.05
11311,9040406171.05
113110,9040406171.05
1132,9040406171.05
11321,9040406171.05
113210,9040406171.05
1133,9040406171.05
11331,9040406171.05
113310,9040406171.05
114,27121218513.2
1141,13560609256.6
11411,13560609256.6
114111,4520203085.53
114112,4520203085.53
114119,4520203085.53
1142,13560609256.6
11421,13560609256.6
114210,13560609256.6
115,27121218513.2
1151,9040406171.05
11511,9040406171.05
115111,1506734361.84
115112,1506734361.84
115113,1506734361.84
115114,1506734361.84
115115,1506734361.84
115116,1506734361.84
1152,9040406171.05
11521,9040406171.05
115210,9040406171.05
1153,9040406171.05
11531,9040406171.05
115310,9040406171.05
21,221257386458.0
211,73752462152.7
2111,73752462152.7
21111,73752462152.7
211111,36876231076.4
211112,36876231076.4
212,73752462152.7
2121,24584154050.9
21211,24584154050.9
212111,8194718016.97
212112,8194718016.97
212113,8194718016.97
2122,24584154050.9
21221,6146038512.73
212210,6146038512.73
21222,6146038512.73
212221,3073019256.36
212222,3073019256.36
21223,6146038512.73
212231,3073019256.36
212234,3073019256.36
21229,6146038512.73
212291,3073019256.36
212299,3073019256.36
2123,24584154050.9
21231,8194718016.97
212311,2048679504.24
212312,2048679504.24
212313,2048679504.24
212319,2048679504.24
21232,8194718016.97
212321,2048679504.24
212322,2048679504.24
212324,2048679504.24
212325,2048679504.24
21239,8194718016.97
212391,2048679504.24
212392,2048679504.24
212393,2048679504.24
212399,2048679504.24
213,73752462152.7
2131,73752462152.7
21311,73752462152.7
213111,14750492430.5
213112,14750492430.5
213113,14750492430.5
213114,14750492430.5
213115,14750492430.5
22,164316822054.0
221,164316822054.0
2211,54772274017.9
22111,27386137009.0
221111,3423267126.12
221112,3423267126.12
221113,3423267126.12
221114,3423267126.12
221115,3423267126.12
221116,3423267126.12
221117,3423267126.12
221118,3423267126.12
22112,27386137009.0
221121,13693068504.5
221122,13693068504.5
2212,54772274017.9
22121,54772274017.9
221210,54772274017.9
2213,54772274017.9
22131,18257424672.6
221310,18257424672.6
22132,18257424672.6
221320,18257424672.6
22133,18257424672.6
221330,18257424672.6
23,604787131259.0
236,201595710420.0
2361,100797855210.0
23611,100797855210.0
236115,25199463802.5
236116,25199463802.5
236117,25199463802.5
236118,25199463802.5
2362,100797855210.0
23621,50398927604.9
236210,50398927604.9
23622,50398927604.9
236220,50398927604.9
237,201595710420.0
2371,50398927604.9
23711,16799642535.0
237110,16799642535.0
23712,16799642535.0
237120,16799642535.0
23713,16799642535.0
237130,16799642535.0
2372,50398927604.9
23721,50398927604.9
237210,50398927604.9
2373,50398927604.9
23731,50398927604.9
237310,50398927604.9
2379,50398927604.9
23799,50398927604.9
237990,50398927604.9
238,201595710420.0
2381,50398927604.9
23811,6299865950.62
238110,6299865950.62
23812,6299865950.62
238120,6299865950.62
23813,6299865950.62
238130,6299865950.62
23814,6299865950.62
238140,6299865950.62
23815,6299865950.62
238150,6299865950.62
23816,6299865950.62
238160,6299865950.62
23817,6299865950.62
238170,6299865950.62
23819,6299865950.62
238190,6299865950.62
2382,50398927604.9
23821,16799642535.0
238210,16799642535.0
23822,16799642535.0
238220,16799642535.0
23829,16799642535.0
238290,16799642535.0
2383,50398927604.9
23831,8399821267.49
238310,8399821267.49
23832,8399821267.49
238320,8399821267.49
23833,8399821267.49
238330,8399821267.49
23834,8399821267.49
238340,8399821267.49
23835,8399821267.49
238350,8399821267.49
23839,8399821267.49
238390,8399821267.49
2389,50398927604.9
23891,25199463802.5
238910,25199463802.5
23899,25199463802.5
238990,25199463802.5
31.32.33,1.46327394387e+12
311,54653494728.4
3111,6072610525.38
31111,6072610525.38
311111,3036305262.69
311119,3036305262.69
3112,6072610525.38
31121,2024203508.46
311211,674734502.82
311212,674734502.82
311213,674734502.82
31122,2024203508.46
311221,674734502.82
311224,674734502.82
311225,674734502.82
31123,2024203508.46
311230,2024203508.46
3113,6072610525.38
31131,2024203508.46
311313,1012101754.23
311314,1012101754.23
31134,2024203508.46
311340,2024203508.46
31135,2024203508.46
311351,1012101754.23
311352,1012101754.23
3114,6072610525.38
31141,3036305262.69
311411,1518152631.35
311412,1518152631.35
31142,3036305262.69
311421,1012101754.23
311422,1012101754.23
311423,1012101754.23
3115,6072610525.38
31151,3036305262.69
311511,759076315.673
311512,759076315.673
311513,759076315.673
311514,759076315.673
31152,3036305262.69
311520,3036305262.69
3116,6072610525.38
31161,6072610525.38
311611,1518152631.35
311612,1518152631.35
311613,1518152631.35
311615,1518152631.35
3117,6072610525.38
31171,6072610525.38
311710,6072610525.38
3118,6072610525.38
31181,2024203508.46
311811,674734502.82
311812,674734502.82
311813,674734502.82
31182,2024203508.46
311821,1012101754.23
311824,1012101754.23
31183,2024203508.46
311830,2024203508.46
3119,6072610525.38
31191,1214522105.08
311911,607261052.538
311919,607261052.538
31192,1214522105.08
311920,1214522105.08
31193,1214522105.08
311930,1214522105.08
31194,1214522105.08
311941,607261052.538
311942,607261052.538
31199,1214522105.08
311991,607261052.538
311999,607261052.538
312,54653494728.4
3121,27326747364.2
31211,6831686841.05
312111,2277228947.02
312112,2277228947.02
312113,2277228947.02
31212,6831686841.05
312120,6831686841.05
31213,6831686841.05
312130,6831686841.05
31214,6831686841.05
312140,6831686841.05
3122,27326747364.2
31223,27326747364.2
312230,27326747364.2
313,54653494728.4
3131,18217831576.1
31311,18217831576.1
313110,18217831576.1
3132,18217831576.1
31321,4554457894.04
313210,4554457894.04
31322,4554457894.04
313220,4554457894.04
31323,4554457894.04
313230,4554457894.04
31324,4554457894.04
313240,4554457894.04
3133,18217831576.1
31331,9108915788.07
313310,9108915788.07
31332,9108915788.07
313320,9108915788.07
314,54653494728.4
3141,27326747364.2
31411,13663373682.1
314110,13663373682.1
31412,13663373682.1
314120,13663373682.1
3149,27326747364.2
31491,13663373682.1
314910,13663373682.1
31499,13663373682.1
314994,6831686841.05
314999,6831686841.05
315,54653494728.4
3151,18217831576.1
31511,9108915788.07
315110,9108915788.07
31519,9108915788.07
315190,9108915788.07
3152,18217831576.1
31521,4554457894.04
315210,4554457894.04
31522,4554457894.04
315220,4554457894.04
31524,4554457894.04
315240,4554457894.04
31528,4554457894.04
315280,4554457894.04
3159,18217831576.1
31599,18217831576.1
315990,18217831576.1
316,54653494728.4
3161,18217831576.1
31611,18217831576.1
316110,18217831576.1
3162,18217831576.1
31621,18217831576.1
316210,18217831576.1
3169,18217831576.1
31699,18217831576.1
316992,9108915788.07
316998,9108915788.07
321,86208550185.3
3211,28736183395.1
32111,28736183395.1
321113,14368091697.5
321114,14368091697.5
3212,28736183395.1
32121,28736183395.1
321211,5747236679.02
321212,5747236679.02
321213,5747236679.02
321214,5747236679.02
321219,5747236679.02
3219,28736183395.1
32191,9578727798.36
321911,3192909266.12
321912,3192909266.12
321918,3192909266.12
32192,9578727798.36
321920,9578727798.36
32199,9578727798.36
321991,3192909266.12
321992,3192909266.12
321999,3192909266.12
322,54653494728.4
3221,27326747364.2
32211,9108915788.07
322110,9108915788.07
32212,9108915788.07
322121,4554457894.04
322122,4554457894.04
32213,9108915788.07
322130,9108915788.07
3222,27326747364.2
32221,6831686841.05
322211,2277228947.02
322212,2277228947.02
322219,2277228947.02
32222,6831686841.05
322220,6831686841.05
32223,6831686841.05
322230,6831686841.05
32229,6831686841.05
322291,3415843420.53
322299,3415843420.53
323,54653494728.4
3231,54653494728.4
32311,27326747364.2
323111,9108915788.07
323113,9108915788.07
323117,9108915788.07
32312,27326747364.2
323120,27326747364.2
324,54653494728.4
3241,54653494728.4
32411,18217831576.1
324110,18217831576.1
32412,18217831576.1
324121,9108915788.07
324122,9108915788.07
32419,18217831576.1
324191,9108915788.07
324199,9108915788.07
325,54653494728.4
3251,7807642104.06
32511,1561528420.81
325110,1561528420.81
32512,1561528420.81
325120,1561528420.81
32513,1561528420.81
325130,1561528420.81
32518,1561528420.81
325180,1561528420.81
32519,1561528420.81
325193,520509473.604
325194,520509473.604
325199,520509473.604
3252,7807642104.06
32521,3903821052.03
325211,1951910526.02
325212,1951910526.02
32522,3903821052.03
325220,3903821052.03
3253,7807642104.06
32531,3903821052.03
325311,1301273684.01
325312,1301273684.01
325314,1301273684.01
32532,3903821052.03
325320,3903821052.03
3254,7807642104.06
32541,7807642104.06
325411,1951910526.02
325412,1951910526.02
325413,1951910526.02
325414,1951910526.02
3255,7807642104.06
32551,3903821052.03
325510,3903821052.03
32552,3903821052.03
325520,3903821052.03
3256,7807642104.06
32561,3903821052.03
325611,1301273684.01
325612,1301273684.01
325613,1301273684.01
32562,3903821052.03
325620,3903821052.03
3259,7807642104.06
32591,2602547368.02
325910,2602547368.02
32592,2602547368.02
325920,2602547368.02
32599,2602547368.02
325991,867515789.34
325992,867515789.34
325998,867515789.34
326,54653494728.4
3261,27326747364.2
32611,3903821052.03
326111,1301273684.01
326112,1301273684.01
326113,1301273684.01
32612,3903821052.03
326121,1951910526.02
326122,1951910526.02
32613,3903821052.03
326130,3903821052.03
32614,3903821052.03
326140,3903821052.03
32615,3903821052.03
326150,3903821052.03
32616,3903821052.03
326160,3903821052.03
32619,3903821052.03
326191,1951910526.02
326199,1951910526.02
3262,27326747364.2
32621,9108915788.07
326211,4554457894.04
326212,4554457894.04
32622,9108915788.07
326220,9108915788.07
32629,9108915788.07
326291,4554457894.04
326299,4554457894.04
327,86208550185.3
3271,17241710037.1
32711,8620855018.53
327110,8620855018.53
32712,8620855018.53
327120,8620855018.53
3272,17241710037.1
32721,17241710037.1
327211,4310427509.26
327212,4310427509.26
327213,4310427509.26
327215,4310427509.26
3273,17241710037.1
32731,4310427509.26
327310,4310427509.26
32732,4310427509.26
327320,4310427509.26
32733,4310427509.26
327331,2155213754.63
327332,2155213754.63
32739,4310427509.26
327390,4310427509.26
3274,17241710037.1
32741,8620855018.53
327410,8620855018.53
32742,8620855018.53
327420,8620855018.53
3279,17241710037.1
32791,8620855018.53
327910,8620855018.53
32799,8620855018.53
327991,2155213754.63
327992,2155213754.63
327993,2155213754.63
327999,2155213754.63
331,86208550185.3
3311,17241710037.1
33111,17241710037.1
331110,17241710037.1
3312,17241710037.1
33121,8620855018.53
331210,8620855018.53
33122,8620855018.53
331221,4310427509.26
331222,4310427509.26
3313,17241710037.1
33131,17241710037.1
331313,4310427509.26
331314,4310427509.26
331315,4310427509.26
331318,4310427509.26
3314,17241710037.1
33141,5747236679.02
331410,5747236679.02
33142,5747236679.02
331420,5747236679.02
33149,5747236679.02
331491,2873618339.51
331492,2873618339.51
3315,17241710037.1
33151,8620855018.53
331511,2873618339.51
331512,2873618339.51
331513,2873618339.51
33152,8620855018.53
331523,2873618339.51
331524,2873618339.51
331529,2873618339.51
332,86208550185.3
3321,9578727798.36
33211,9578727798.36
332111,1915745559.67
332112,1915745559.67
332114,1915745559.67
332117,1915745559.67
332119,1915745559.67
3322,9578727798.36
33221,9578727798.36
332215,4789363899.18
332216,4789363899.18
3323,9578727798.36
33231,4789363899.18
332311,1596454633.06
332312,1596454633.06
332313,1596454633.06
33232,4789363899.18
332321,1596454633.06
332322,1596454633.06
332323,1596454633.06
3324,9578727798.36
33241,3192909266.12
332410,3192909266.12
33242,3192909266.12
332420,3192909266.12
33243,3192909266.12
332431,1596454633.06
332439,1596454633.06
3325,9578727798.36
33251,9578727798.36
332510,9578727798.36
3326,9578727798.36
33261,9578727798.36
332613,4789363899.18
332618,4789363899.18
3327,9578727798.36
33271,4789363899.18
332710,4789363899.18
33272,4789363899.18
332721,2394681949.59
332722,2394681949.59
3328,9578727798.36
33281,9578727798.36
332811,3192909266.12
332812,3192909266.12
332813,3192909266.12
3329,9578727798.36
33291,4789363899.18
332911,1197340974.8
332912,1197340974.8
332913,1197340974.8
332919,1197340974.8
33299,4789363899.18
332991,798227316.53
332992,798227316.53
332993,798227316.53
332994,798227316.53
332996,798227316.53
332999,798227316.53
333,86208550185.3
3331,12315507169.3
33311,4105169056.44
333111,2052584528.22
333112,2052584528.22
33312,4105169056.44
333120,4105169056.44
33313,4105169056.44
333131,2052584528.22
333132,2052584528.22
3332,12315507169.3
33324,12315507169.3
333241,2463101433.86
333242,2463101433.86
333243,2463101433.86
333244,2463101433.86
333249,2463101433.86
3333,12315507169.3
33331,12315507169.3
333314,4105169056.44
333316,4105169056.44
333318,4105169056.44
3334,12315507169.3
33341,12315507169.3
333413,4105169056.44
333414,4105169056.44
333415,4105169056.44
3335,12315507169.3
33351,12315507169.3
333511,2463101433.86
333514,2463101433.86
333515,2463101433.86
333517,2463101433.86
333519,2463101433.86
3336,12315507169.3
33361,12315507169.3
333611,3078876792.33
333612,3078876792.33
333613,3078876792.33
333618,3078876792.33
3339,12315507169.3
33391,4105169056.44
333911,1368389685.48
333912,1368389685.48
333913,1368389685.48
33392,4105169056.44
333921,1026292264.11
333922,1026292264.11
333923,1026292264.11
333924,1026292264.11
33399,4105169056.44
333991,513146132.055
333992,513146132.055
333993,513146132.055
333994,513146132.055
333995,513146132.055
333996,513146132.055
333997,513146132.055
333999,513146132.055
334,86208550185.3
3341,14368091697.5
33411,14368091697.5
334111,4789363899.18
334112,4789363899.18
334118,4789363899.18
3342,14368091697.5
33421,4789363899.18
334210,4789363899.18
33422,4789363899.18
334220,4789363899.18
33429,4789363899.18
334290,4789363899.18
3343,14368091697.5
33431,14368091697.5
334310,14368091697.5
3344,14368091697.5
33441,14368091697.5
334412,2394681949.59
334413,2394681949.59
334416,2394681949.59
334417,2394681949.59
334418,2394681949.59
334419,2394681949.59
3345,14368091697.5
33451,14368091697.5
334510,1596454633.06
334511,1596454633.06
334512,1596454633.06
334513,1596454633.06
334514,1596454633.06
334515,1596454633.06
334516,1596454633.06
334517,1596454633.06
334519,1596454633.06
3346,14368091697.5
33461,14368091697.5
334613,7184045848.77
334614,7184045848.77
335,86208550185.3
3351,21552137546.3
33511,10776068773.2
335110,10776068773.2
33512,10776068773.2
335121,3592022924.39
335122,3592022924.39
335129,3592022924.39
3352,21552137546.3
33521,10776068773.2
335210,10776068773.2
33522,10776068773.2
335221,2694017193.29
335222,2694017193.29
335224,2694017193.29
335228,2694017193.29
3353,21552137546.3
33531,21552137546.3
335311,5388034386.58
335312,5388034386.58
335313,5388034386.58
335314,5388034386.58
3359,21552137546.3
33591,5388034386.58
335911,2694017193.29
335912,2694017193.29
33592,5388034386.58
335921,2694017193.29
335929,2694017193.29
33593,5388034386.58
335931,2694017193.29
335932,2694017193.29
33599,5388034386.58
335991,2694017193.29
335999,2694017193.29
336,86208550185.3
3361,12315507169.3
33611,6157753584.66
336111,3078876792.33
336112,3078876792.33
33612,6157753584.66
336120,6157753584.66
3362,12315507169.3
33621,12315507169.3
336211,3078876792.33
336212,3078876792.33
336213,3078876792.33
336214,3078876792.33
3363,12315507169.3
33631,1539438396.17
336310,1539438396.17
33632,1539438396.17
336320,1539438396.17
33633,1539438396.17
336330,1539438396.17
33634,1539438396.17
336340,1539438396.17
33635,1539438396.17
336350,1539438396.17
33636,1539438396.17
336360,1539438396.17
33637,1539438396.17
336370,1539438396.17
33639,1539438396.17
336390,1539438396.17
3364,12315507169.3
33641,12315507169.3
336411,2052584528.22
336412,2052584528.22
336413,2052584528.22
336414,2052584528.22
336415,2052584528.22
336419,2052584528.22
3365,12315507169.3
33651,12315507169.3
336510,12315507169.3
3366,12315507169.3
33661,12315507169.3
336611,6157753584.66
336612,6157753584.66
3369,12315507169.3
33699,12315507169.3
336991,4105169056.44
336992,4105169056.44
336999,4105169056.44
337,86208550185.3
3371,28736183395.1
33711,14368091697.5
337110,14368091697.5
33712,14368091697.5
337121,2873618339.51
337122,2873618339.51
337124,2873618339.51
337125,2873618339.51
337127,2873618339.51
3372,28736183395.1
33721,28736183395.1
337211,7184045848.77
337212,7184045848.77
337214,7184045848.77
337215,7184045848.77
3379,28736183395.1
33791,14368091697.5
337910,14368091697.5
33792,14368091697.5
337920,14368091697.5
339,86208550185.3
3391,43104275092.6
33911,43104275092.6
339112,8620855018.53
339113,8620855018.53
339114,8620855018.53
339115,8620855018.53
339116,8620855018.53
3399,43104275092.6
33991,7184045848.77
339910,7184045848.77
33992,7184045848.77
339920,7184045848.77
33993,7184045848.77
339930,7184045848.77
33994,7184045848.77
339940,7184045848.77
33995,7184045848.77
339950,7184045848.77
33999,7184045848.77
339991,1197340974.8
339992,1197340974.8
339993,1197340974.8
339994,1197340974.8
339995,1197340974.8
339999,1197340974.8
42,825007726669.0
423,275002575556.0
4231,30555841728.5
42311,7638960432.12
423110,7638960432.12
42312,7638960432.12
423120,7638960432.12
42313,7638960432.12
423130,7638960432.12
42314,7638960432.12
423140,7638960432.12
4232,30555841728.5
42321,15277920864.2
423210,15277920864.2
42322,15277920864.2
423220,15277920864.2
4233,30555841728.5
42331,7638960432.12
423310,7638960432.12
42332,7638960432.12
423320,7638960432.12
42333,7638960432.12
423330,7638960432.12
42339,7638960432.12
423390,7638960432.12
4234,30555841728.5
42341,4365120246.92
423410,4365120246.92
42342,4365120246.92
423420,4365120246.92
42343,4365120246.92
423430,4365120246.92
42344,4365120246.92
423440,4365120246.92
42345,4365120246.92
423450,4365120246.92
42346,4365120246.92
423460,4365120246.92
42349,4365120246.92
423490,4365120246.92
4235,30555841728.5
42351,15277920864.2
423510,15277920864.2
42352,15277920864.2
423520,15277920864.2
4236,30555841728.5
42361,10185280576.2
423610,10185280576.2
42362,10185280576.2
423620,10185280576.2
42369,10185280576.2
423690,10185280576.2
4237,30555841728.5
42371,7638960432.12
423710,7638960432.12
42372,7638960432.12
423720,7638960432.12
42373,7638960432.12
423730,7638960432.12
42374,7638960432.12
423740,7638960432.12
4238,30555841728.5
42381,5092640288.08
423810,5092640288.08
42382,5092640288.08
423820,5092640288.08
42383,5092640288.08
423830,5092640288.08
42384,5092640288.08
423840,5092640288.08
42385,5092640288.08
423850,5092640288.08
42386,5092640288.08
423860,5092640288.08
4239,30555841728.5
42391,6111168345.69
423910,6111168345.69
42392,6111168345.69
423920,6111168345.69
42393,6111168345.69
423930,6111168345.69
42394,6111168345.69
423940,6111168345.69
42399,6111168345.69
423990,6111168345.69
424,275002575556.0
4241,30555841728.5
42411,10185280576.2
424110,10185280576.2
42412,10185280576.2
424120,10185280576.2
42413,10185280576.2
424130,10185280576.2
4242,30555841728.5
42421,30555841728.5
424210,30555841728.5
4243,30555841728.5
42431,7638960432.12
424310,7638960432.12
42432,7638960432.12
424320,7638960432.12
42433,7638960432.12
424330,7638960432.12
42434,7638960432.12
424340,7638960432.12
4244,30555841728.5
42441,3395093525.39
424410,3395093525.39
42442,3395093525.39
424420,3395093525.39
42443,3395093525.39
424430,3395093525.39
42444,3395093525.39
424440,3395093525.39
42445,3395093525.39
424450,3395093525.39
42446,3395093525.39
424460,3395093525.39
42447,3395093525.39
424470,3395093525.39
42448,3395093525.39
424480,3395093525.39
42449,3395093525.39
424490,3395093525.39
4245,30555841728.5
42451,10185280576.2
424510,10185280576.2
42452,10185280576.2
424520,10185280576.2
42459,10185280576.2
424590,10185280576.2
4246,30555841728.5
42461,15277920864.2
424610,15277920864.2
42469,15277920864.2
424690,15277920864.2
4247,30555841728.5
42471,15277920864.2
424710,15277920864.2
42472,15277920864.2
424720,15277920864.2
4248,30555841728.5
42481,15277920864.2
424810,15277920864.2
42482,15277920864.2
424820,15277920864.2
4249,30555841728.5
42491,5092640288.08
424910,5092640288.08
42492,5092640288.08
424920,5092640288.08
42493,5092640288.08
424930,5092640288.08
42494,5092640288.08
424940,5092640288.08
42495,5092640288.08
424950,5092640288.08
42499,5092640288.08
424990,5092640288.08
425,275002575556.0
4251,275002575556.0
42511,137501287778.0
425110,137501287778.0
42512,137501287778.0
425120,137501287778.0
44.45,932374278189.0
441,77697856515.8
4411,25899285505.3
44111,12949642752.6
441110,12949642752.6
44112,12949642752.6
441120,12949642752.6
4412,25899285505.3
